folder	disposition	rationale	image
pose-atlas-rebuild/2026-08-25/mohan-face-only-identity-training-v3-staging-agent-b	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-face-only-identity-training-v3-staging-agent-b/attempt-2-before-visual-refine/face-only-v3-contact.png
pose-atlas-rebuild/2026-08-25/mohan-face-only-identity-training-v3-staging-agent-b/attempt-2-before-visual-refine	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-face-only-identity-training-v3-staging-agent-b/attempt-2-before-visual-refine/face-only-v3-contact.png
pose-atlas-rebuild/2026-08-25/mohan-v3-owner-review-12-main	SUPERSEDED_BY_LORA_V2	12 來源純臉遮罩的入場審查（PENDING 未結案）；資料集已由 v2 重建、2026-08-31 再由 v3 重建，審查對象不存在	pose-atlas-rebuild/2026-08-25/mohan-v3-owner-review-12-main/owner-review-12-face-detail-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-main	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-main/v3-pure-face-mask-r3-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r10-agent-b/attempt-1-ear-edge-hold	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r10-agent-b/attempt-1-ear-edge-hold/seq04-pure-face-rgba-r10.png
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/r11-repair-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-b	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-b/r11b-repair-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-d	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-d/r11d-repair-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-e	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-e/r11e-repair-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-f	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-f/r11f-repair-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-g	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-g/r11g-repair-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-h	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-h/r11h-repair-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-h-replay	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-h-replay/r11i-repair-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-i	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-i/r11i-repair-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-j	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-j/r11j-repair-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-k	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-k/r11k-repair-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-l	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r11-repair-main/revision-l/r11l-repair-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r12-agent-b/attempt-3-broad-roi-art-hold	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r12-agent-b/attempt-3-broad-roi-art-hold/r12-hair-additive-contact.png
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r13-agent-b	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r13-agent-b/attempt-1-class-overlap-fail/r13-multiclass-rebuild-contact.png
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r13-agent-b/attempt-1-class-overlap-fail	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r13-agent-b/attempt-1-class-overlap-fail/r13-multiclass-rebuild-contact.png
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r13-agent-b/attempt-2-class-overlap-fail	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r13-agent-b/attempt-2-class-overlap-fail/r13-multiclass-rebuild-contact.png
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r8-agent-b/attempt-1-hard-envelope-rejected	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r8-agent-b/attempt-1-hard-envelope-rejected/r8-repair-contact.png
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r8-agent-b/attempt-2-soft-envelope-rejected	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r8-agent-b/attempt-2-soft-envelope-rejected/r8-repair-contact.png
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r8-agent-b/attempt-3-face-envelope-rejected	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r8-agent-b/attempt-3-face-envelope-rejected/r8-repair-contact.png
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r9-agent-b/attempt-1-manual-curves-partial-rejected	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r9-agent-b/attempt-1-manual-curves-partial-rejected/r9-manual-contour-contact.png
pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r9-agent-b/attempt-2-seq04-seq05-noop-hold	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/mohan-v3-pure-face-mask-r9-agent-b/attempt-2-seq04-seq05-noop-hold/r9-manual-contour-contact.png
pose-atlas-rebuild/2026-08-25/mohan-v4-seven-source-independent-admission-qa-agent-b	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-25/mohan-v4-seven-source-independent-admission-qa-agent-b/seven-source-independent-mask-contact.png
pose-atlas-rebuild/2026-08-25/mohan-v4-seven-source-user-review-pack-agent-b	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-25/mohan-v4-seven-source-user-review-pack-agent-b/v4-seven-source-user-review-overview.png
pose-atlas-rebuild/2026-08-25/ornament-source-audit	LIVE_LICENSING	素材來源授權；與生圖產線無關，白名單永遠適用	pose-atlas-rebuild/2026-08-25/ornament-source-audit/ornament-source-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/pure-face-v3-ornament-metadata-agent-c	LIVE_DLC_STRUCTURE	12 筆固定髮飾中繼資料清冊（METADATA_COMPLETE）；DLC 擁有權分層仍引用髮飾層定義	pose-atlas-rebuild/2026-08-25/pure-face-v3-ornament-metadata-agent-c/fixed-ornament-visual-index.jpg
pose-atlas-rebuild/2026-08-25/qwen2509-yaw045-face-neck-execution-pack-agent-b/qa-fixture-original	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/qwen2509-yaw045-face-neck-execution-pack-agent-b/qa-fixture-original/identity-manual-contact.png
pose-atlas-rebuild/2026-08-25/seq01-02-face-core-hole-minimal-repair-main	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/seq01-02-face-core-hole-minimal-repair-main/seq01-02-hole-repair-before-after-contact.png
pose-atlas-rebuild/2026-08-25/seq01-02-face-core-hole-minimal-repair-main/candidate-package	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/seq01-02-face-core-hole-minimal-repair-main/candidate-package/draft/seq01-overlay-hole-repaired.draft.png
pose-atlas-rebuild/2026-08-25/seq01-02-face-core-hole-minimal-repair-main/candidate-package/draft	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-25/seq01-02-face-core-hole-minimal-repair-main/candidate-package/draft/seq01-overlay-hole-repaired.draft.png
pose-atlas-rebuild/2026-08-25/seq01-02-independent-machine-qa-and-loader-dry-run-main	SUPERSEDED_BY_LORA_V2	seq01-02 資料載入器乾跑 QA；該資料序列已被 v2/v3 資料集取代	pose-atlas-rebuild/2026-08-25/seq01-02-independent-machine-qa-and-loader-dry-run-main/mask-continuity-qa-contact.png
pose-atlas-rebuild/2026-08-25/seq01-02-owner-mask-caption-binding-production-main/draft	SUPERSEDED_BY_LORA_V2	caption 綁定草稿（DRAFT 未定稿）；caption 政策已在 v3 重立（五官不入 caption）	pose-atlas-rebuild/2026-08-25/seq01-02-owner-mask-caption-binding-production-main/draft/seq01-overlay.draft.png
pose-atlas-rebuild/2026-08-25/yaw-015-candidate-gate-wrapper-agent-a/runs/known-negative-c044	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw-015-candidate-gate-wrapper-agent-a/runs/known-negative-c044/ornament-hands-shoes-boundary-contact.png
pose-atlas-rebuild/2026-08-25/yaw-015-candidate-gate-wrapper-agent-a/runs/known-negative-c044-cmd-outer	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw-015-candidate-gate-wrapper-agent-a/runs/known-negative-c044-cmd-outer/ornament-hands-shoes-boundary-contact.png
pose-atlas-rebuild/2026-08-25/yaw-015-candidate-gate-wrapper-agent-a/runs/yaw-015-v5-pre-review	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw-015-candidate-gate-wrapper-agent-a/runs/yaw-015-v5-pre-review/ornament-hands-shoes-boundary-contact.png
pose-atlas-rebuild/2026-08-25/yaw015-flux-schnell-staging-agent-b	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw015-flux-schnell-staging-agent-b/three-view-fixture/three-view-contact.png
pose-atlas-rebuild/2026-08-25/yaw015-flux-schnell-staging-agent-b/three-view-fixture	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw015-flux-schnell-staging-agent-b/three-view-fixture/three-view-contact.png
pose-atlas-rebuild/2026-08-25/yaw015-unique-candidate-strict-screen-agent-b	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw015-unique-candidate-strict-screen-agent-b/yaw015-strict-screen-contact.png
pose-atlas-rebuild/2026-08-25/yaw030-candidate-v2-birefnet-main	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw030-candidate-v2-birefnet-main/yaw+060-pitch+00.candidate-v1.imagegen-raw.png
pose-atlas-rebuild/2026-08-25/yaw030-flux-schnell-staging-agent-b/continuity-fixture	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw030-flux-schnell-staging-agent-b/continuity-fixture/adjacent-contact.png
pose-atlas-rebuild/2026-08-25/yaw045-baseline-lora-alpha-dlc-qa-agent-c/birefnet/candidate-01-yaw+045-pitch+00.flux-img2img-s0.20/geometry	LIVE_DLC_STRUCTURE	DLC 的解剖／服裝分離結構；套用到新的 24 視角仍需要	pose-atlas-rebuild/2026-08-25/yaw045-baseline-lora-alpha-dlc-qa-agent-c/birefnet/candidate-01-yaw+045-pitch+00.flux-img2img-s0.20/geometry/geometry-contact.png
pose-atlas-rebuild/2026-08-25/yaw045-baseline-lora-alpha-dlc-qa-agent-c/birefnet/candidate-02-yaw+045-pitch+00.flux-img2img-lora-s0.20/geometry	LIVE_DLC_STRUCTURE	DLC 的解剖／服裝分離結構；套用到新的 24 視角仍需要	pose-atlas-rebuild/2026-08-25/yaw045-baseline-lora-alpha-dlc-qa-agent-c/birefnet/candidate-02-yaw+045-pitch+00.flux-img2img-lora-s0.20/geometry/geometry-contact.png
pose-atlas-rebuild/2026-08-25/yaw045-birefnet-readiness-agent-a/smoke-old-angle-not-approved	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw045-birefnet-readiness-agent-a/smoke-old-angle-not-approved/yaw+045-pitch+00.old-angle-env-smoke.birefnet-preview.png
pose-atlas-rebuild/2026-08-25/yaw045-flux-schnell-attempt4-geometry-strong-agent-b/inference	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw045-flux-schnell-attempt4-geometry-strong-agent-b/inference/yaw+045-pitch+00.flux-img2img-lora-s0.15.png
pose-atlas-rebuild/2026-08-25/yaw045-flux-schnell-attempt5-fullbody-gray-geometry-agent-b	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw045-flux-schnell-attempt5-fullbody-gray-geometry-agent-b/art-gate-step8-s0.20/art-gate-contact.png
pose-atlas-rebuild/2026-08-25/yaw045-flux-schnell-attempt5-fullbody-gray-geometry-agent-b/inference-step8	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw045-flux-schnell-attempt5-fullbody-gray-geometry-agent-b/inference-step8/yaw+045-pitch+00.flux-img2img-lora-s0.20.png
pose-atlas-rebuild/2026-08-25/yaw045-flux-schnell-epoch1-identity-sample-agent-b/attempt-3-fixed-output/output	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw045-flux-schnell-epoch1-identity-sample-agent-b/attempt-3-fixed-output/output/yaw+045-pitch+00.flux-img2img-lora-s0.20.png
pose-atlas-rebuild/2026-08-25/yaw045-lora-ab-upcoming-run-main/baseline	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw045-lora-ab-upcoming-run-main/baseline/yaw+045-pitch+00.flux-img2img-s0.20.png
pose-atlas-rebuild/2026-08-25/yaw045-lora-ab-upcoming-run-main/lora	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw045-lora-ab-upcoming-run-main/lora/yaw+045-pitch+00.flux-img2img-lora-s0.20.png
pose-atlas-rebuild/2026-08-25/yaw045-lora-single-art-qa-agent-b	SUPERSEDED_BY_GEOMETRY_CONDITIONING	flux 時代 yaw045 單視角候選的技術 QA（PENDING_MANUAL 未結案）；候選路線已被幾何條件化取代	pose-atlas-rebuild/2026-08-25/yaw045-lora-single-art-qa-agent-b/lora-authority-art-contact.png
pose-atlas-rebuild/2026-08-25/yaw045-renderer-minus045-separated-controls-agent-b	LIVE_GEOMETRY_CONTRACT	幾何控制契約；正是現行產線的上游	pose-atlas-rebuild/2026-08-25/yaw045-renderer-minus045-separated-controls-agent-b/separated-controls-contact.png
pose-atlas-rebuild/2026-08-25/yaw090-candidate-v1-raw-qa-agent-a	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/yaw090-candidate-v1-raw-qa-agent-a/yaw090-face-identity-reference-contact.png
pose-atlas-rebuild/2026-08-26/b00-thumb-nail-precision-agent-c	LIVE_SHIPPED_ATLAS_PROVENANCE	出貨中 v4 圖集手部指甲修補的 8x/20x 前後對照；v4 仍是實機資產，修補履歷屬現行資產出處鏈	pose-atlas-rebuild/2026-08-26/b00-thumb-nail-precision-agent-c/yaw+000-pitch+00.approved-rgba.thumb-nails-clean-v2.owner-review.png
pose-atlas-rebuild/2026-08-26/canonical-yaw000-step16-attempt6-guidance2	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-26/canonical-yaw000-step16-attempt6-guidance2/yaw+000-pitch+00_composed-staging.png
pose-atlas-rebuild/2026-08-26/canonical-yaw000-step16-attempt7-truecfg2	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-26/canonical-yaw000-step16-attempt7-truecfg2/yaw+000-pitch+00_composed-staging.png
pose-atlas-rebuild/2026-08-26/face-only-refine24-staging-v1/yaw+045-pitch+00	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-26/face-only-refine24-staging-v1/yaw+045-pitch+00/step16_identity-yunet-overlay.png
pose-atlas-rebuild/2026-08-26/face-only-refine24-staging-v1/yaw+045-pitch+00-inpaint-v2	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-26/face-only-refine24-staging-v1/yaw+045-pitch+00-inpaint-v2/step16_identity-yunet-overlay.png
pose-atlas-rebuild/2026-08-26/flux2-klein-identity28-train-agent-identity/output-step16-v2/visual-samples	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/flux2-klein-identity28-train-agent-identity/output-step16-v2/visual-samples/step16-seed20260826-yaw+045.png
pose-atlas-rebuild/2026-08-26/flux2-klein-identity28-train-agent-identity/output-step32-v1	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/flux2-klein-identity28-train-agent-identity/output-step32-v1/diffusers-yaw045-from-yaw030-step32/birefnet-offline/yaw+045-pitch+00.birefnet-preview.png
